name,url,views
2012 Annual Report to Congress on White House Staff,https://opendata.socrata.com/Government/2012-Annual-Report-to-Congress-on-White-House-Staf/jv7a-cjdv,"208,542"
Le Sarkomètre,https://opendata.socrata.com/Government/Le-Sarkomètre/mm2p-747g,"185,625"
Sorted RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Sorted-RadNet-Laboratory-Analysis/w9fb-tgv6,"172,420"
Drinking Water RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Drinking-Water-RadNet-Laboratory-Analysis/4ig7-9eqd,"157,709"
2013 Salaries: Pennsylvania State System of Higher Education,https://opendata.socrata.com/Education/2013-Salaries-Pennsylvania-State-System-of-Higher-/26jq-uk2i,"152,486"
Physicochemical and Spectroscopic Characterization of p-Chlorobenzaldehyde: An Impact of Biofield Energy Treatment,https://opendata.socrata.com/Education/Physicochemical-and-Spectroscopic-Characterization/7zpn-js2t,1
"Characterization of Biofield Energy Treated 3-Chloronitrobenzene: Physical, Thermal, and Spectroscopic Studies",https://opendata.socrata.com/Education/Characterization-of-Biofield-Energy-Treated-3-Chlo/jt6r-aisx,1
"Characterization of Biofield Energy Treated 3-Chloronitrobenzene: Physical, Thermal, and Spectroscopic Studies",https://opendata.socrata.com/Education/Characterization-of-Biofield-Energy-Treated-3-Chlo/99us-rawi,1
Evaluation of Biofield Treatment on Atomic and Thermal Properties of Ethanol,https://opendata.socrata.com/Education/Evaluation-of-Biofield-Treatment-on-Atomic-and-The/p9is-k6ca,1
Allied Van Lines,https://opendata.socrata.com/Business/Allied-Van-Lines/6d2s-pspq,0
AutoNation Honda Roseville,https://opendata.socrata.com/Business/AutoNation-Honda-Roseville/5hx6-484g,0
Airsoft Review Database - AEGs,https://opendata.socrata.com/Fun/Airsoft-Review-Database-AEGs/qhsr-j3c5,"10,036"
Licencias de Funcionamiento,https://opendata.socrata.com/Government/Licencias-de-Funcionamiento/ygmw-vv2s,"9,902"
Airplane Crashes and Fatalities Since 1908,https://opendata.socrata.com/Government/Airplane-Crashes-and-Fatalities-Since-1908/q2te-8cvq,"9,789"
List Of Cities And Towns In Austria,https://opendata.socrata.com/Government/List-Of-Cities-And-Towns-In-Austria/bx4m-myd6,"9,674"
Top 25 Facebook Game developers,https://opendata.socrata.com/Personal/Top-25-Facebook-Game-developers/7xeu-r99j,"9,633"
Hawaii Honolulu Precipitation,https://opendata.socrata.com/Government/Hawaii-Honolulu-Precipitation/6iva-fhgg,"9,502"
27 times Ezra Klein shows up in the White House visitor records,https://opendata.socrata.com/Government/27-times-Ezra-Klein-shows-up-in-the-White-House-vi/p365-dxy2,"9,179"
Texas Lawmaker Personal Financial Statements For CY 2012-2,https://opendata.socrata.com/Government/Texas-Lawmaker-Personal-Financial-Statements-For-C/k2dw-gwje,"9,153"
2010 Report to Congress on White House Staff,https://opendata.socrata.com/Government/2010-Report-to-Congress-on-White-House-Staff/vedg-c5sb,"517,899"
The White House - Nominations & Appointments,https://opendata.socrata.com/dataset/The-White-House-Nominations-Appointments/n5m4-mism,"506,290"
2011 Report to Congress on White House Staff,https://opendata.socrata.com/Government/2011-Report-to-Congress-on-White-House-Staff/73t8-rw4g,"383,688"
Milk  RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Milk-RadNet-Laboratory-Analysis/pkfj-5jsd,"221,566"
Precipitation RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Precipitation-RadNet-Laboratory-Analysis/e2xy-undq,"212,581"
2012 Annual Report to Congress on White House Staff,https://opendata.socrata.com/Government/2012-Annual-Report-to-Congress-on-White-House-Staf/jv7a-cjdv,"208,542"
Le Sarkomètre,https://opendata.socrata.com/Government/Le-Sarkomètre/mm2p-747g,"185,625"
Sorted RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Sorted-RadNet-Laboratory-Analysis/w9fb-tgv6,"172,420"
Drinking Water RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Drinking-Water-RadNet-Laboratory-Analysis/4ig7-9eqd,"157,709"
2013 Salaries: Pennsylvania State System of Higher Education,https://opendata.socrata.com/Education/2013-Salaries-Pennsylvania-State-System-of-Higher-/26jq-uk2i,"152,486"
Physicochemical and Spectroscopic Characterization of p-Chlorobenzaldehyde: An Impact of Biofield Energy Treatment,https://opendata.socrata.com/Education/Physicochemical-and-Spectroscopic-Characterization/7zpn-js2t,1
"Characterization of Biofield Energy Treated 3-Chloronitrobenzene: Physical, Thermal, and Spectroscopic Studies",https://opendata.socrata.com/Education/Characterization-of-Biofield-Energy-Treated-3-Chlo/jt6r-aisx,1
"Characterization of Biofield Energy Treated 3-Chloronitrobenzene: Physical, Thermal, and Spectroscopic Studies",https://opendata.socrata.com/Education/Characterization-of-Biofield-Energy-Treated-3-Chlo/99us-rawi,1
Evaluation of Biofield Treatment on Atomic and Thermal Properties of Ethanol,https://opendata.socrata.com/Education/Evaluation-of-Biofield-Treatment-on-Atomic-and-The/p9is-k6ca,1
Allied Van Lines,https://opendata.socrata.com/Business/Allied-Van-Lines/6d2s-pspq,0
AutoNation Honda Roseville,https://opendata.socrata.com/Business/AutoNation-Honda-Roseville/5hx6-484g,0
Airsoft Review Database - AEGs,https://opendata.socrata.com/Fun/Airsoft-Review-Database-AEGs/qhsr-j3c5,"10,036"
Licencias de Funcionamiento,https://opendata.socrata.com/Government/Licencias-de-Funcionamiento/ygmw-vv2s,"9,902"
Airplane Crashes and Fatalities Since 1908,https://opendata.socrata.com/Government/Airplane-Crashes-and-Fatalities-Since-1908/q2te-8cvq,"9,789"
List Of Cities And Towns In Austria,https://opendata.socrata.com/Government/List-Of-Cities-And-Towns-In-Austria/bx4m-myd6,"9,674"
Top 25 Facebook Game developers,https://opendata.socrata.com/Personal/Top-25-Facebook-Game-developers/7xeu-r99j,"9,633"
Hawaii Honolulu Precipitation,https://opendata.socrata.com/Government/Hawaii-Honolulu-Precipitation/6iva-fhgg,"9,502"
27 times Ezra Klein shows up in the White House visitor records,https://opendata.socrata.com/Government/27-times-Ezra-Klein-shows-up-in-the-White-House-vi/p365-dxy2,"9,179"
Texas Lawmaker Personal Financial Statements For CY 2012-2,https://opendata.socrata.com/Government/Texas-Lawmaker-Personal-Financial-Statements-For-C/k2dw-gwje,"9,153"
Alberta FOI Request Data 1995-2009,https://opendata.socrata.com/dataset/Alberta-FOI-Request-Data-1995-2009/fhku-mij6,"9,052"
UtahBeerTaxmap,https://opendata.socrata.com/Government/UtahBeerTaxmap/6i4w-nzeq,"9,035"
Mayor,https://opendata.socrata.com/dataset/Mayor/2p3t-v32s,"12,239"
Honolulu: Drinking Water RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Honolulu-Drinking-Water-RadNet-Laboratory-Analysis/v3jf-ks99,"12,139"
Honolulu: Air Filter & Cartridge RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Honolulu-Air-Filter-Cartridge-RadNet-Laboratory-An/kaax-vbup,"12,133"
Socrata Customer Spotlights,https://opendata.socrata.com/dataset/Socrata-Customer-Spotlights/6wk3-4ija,"12,107"
E-Liquid Cost-per-ml,https://opendata.socrata.com/Fun/E-Liquid-Cost-per-ml/j8gz-u2t8,"11,978"
Most common reasons for food recalls,https://opendata.socrata.com/Government/Most-common-reasons-for-food-recalls/9iuc-3wkn,"11,959"
Donut Chart of Employee by Status,https://opendata.socrata.com/Government/Donut-Chart-of-Employee-by-Status/qtg8-ngqa,"11,150"
Ethics Advisors,https://opendata.socrata.com/Government/Ethics-Advisors/qfch-hqur,"11,074"
NSA Water Jan 2015,https://opendata.socrata.com/Government/NSA-Water-Jan-2015/3rks-twmf,"10,728"
Squish,https://opendata.socrata.com/dataset/Squish/ck4s-4mts,"10,124"
Local District Report Card Data Chart,https://opendata.socrata.com/dataset/Local-District-Report-Card-Data-Chart/7w3m-4vn3,"13,917"
City Of Trenton - 2014 Certified Tax List,https://opendata.socrata.com/dataset/City-Of-Trenton-2014-Certified-Tax-List/6rv7-3upw,"13,534"
City Of Trenton - 2011 Certified Tax List,https://opendata.socrata.com/Government/City-Of-Trenton-2011-Certified-Tax-List/ewuw-qyqp,"13,349"
Airport Codes mapped to Latitude/Longitude in the United States,https://opendata.socrata.com/dataset/Airport-Codes-mapped-to-Latitude-Longitude-in-the-/rxrh-4cxm,"13,337"
NT Greek Principal Parts,https://opendata.socrata.com/Education/NT-Greek-Principal-Parts/aes3-kctc,"12,936"
Portland: Milk RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Portland-Milk-RadNet-Laboratory-Analysis/b4ne-pkp8,"12,865"
Portland: Drinking Water RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Portland-Drinking-Water-RadNet-Laboratory-Analysis/85pj-7x27,"12,835"
E Liquid Cost Per ML,https://opendata.socrata.com/dataset/E-Liquid-Cost-Per-ML/mpg2-phvs,"12,641"
Anaheim: Air Filter & Cartridge RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Anaheim-Air-Filter-Cartridge-RadNet-Laboratory-Ana/kf7b-j8wk,"12,583"
Alcohol Consumption Per Country,https://opendata.socrata.com/Government/Alcohol-Consumption-Per-Country/hj43-2bpj,"12,428"
SBA Loan Failure Rate by NAICS Industry Code,https://opendata.socrata.com/Business/SBA-Loan-Failure-Rate-by-NAICS-Industry-Code/hc6g-7b34,"17,251"
Rep,https://opendata.socrata.com/dataset/Rep/qsig-ckg9,"17,248"
OCCC Faculty & Staff,https://opendata.socrata.com/Education/OCCC-Faculty-Staff/7trt-aanw,"16,736"
FGCU salary dataset,https://opendata.socrata.com/dataset/FGCU-salary-dataset/fjqw-ymup,"15,992"
Mapa de los Proyectos de Inversión Pública en Ejecución,https://opendata.socrata.com/Government/Mapa-de-los-Proyectos-de-Inversión-Pública-en-Ejec/p62z-4uvz,"15,895"
CaddoLanguage,https://opendata.socrata.com/Education/CaddoLanguage/kerq-ib5s,"15,812"
Criterions on Netflix,https://opendata.socrata.com/Fun/Criterions-on-Netflix/sfnr-xcnq,"15,370"
UmWeichselbrunn,https://opendata.socrata.com/Fun/UmWeichselbrunn/ai5f-3azp,"15,191"
City Of Trenton - 2015 Certified Tax List,https://opendata.socrata.com/Government/City-Of-Trenton-2015-Certified-Tax-List/f3qm-jqfs,"14,701"
Seattle Tech Companies Map,https://opendata.socrata.com/Business/Seattle-Tech-Companies-Map/tz9i-ie4t,"14,557"
Los Angeles: Drinking Water RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Los-Angeles-Drinking-Water-RadNet-Laboratory-Analy/x2yf-hftq,"20,988"
Los Angeles: Milk RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Los-Angeles-Milk-RadNet-Laboratory-Analysis/8fw5-fnzk,"20,841"
Senator Golden,https://opendata.socrata.com/dataset/Senator-Golden/n3yk-vzcn,"20,677"
"Rate of Fatal Work Injuries per 100,000 Workers, 2006-2012",https://opendata.socrata.com/Government/Rate-of-Fatal-Work-Injuries-per-100-000-Workers-20/dq7n-btuf,"20,101"
San Francisco: Air Filter & Cartridge RadNet Laboratory Analysis,https://opendata.socrata.com/Government/San-Francisco-Air-Filter-Cartridge-RadNet-Laborato/vew3-webj,"19,689"
"State-by-State OSHA Fatalitiy Investigations, FY 2013",https://opendata.socrata.com/dataset/State-by-State-OSHA-Fatalitiy-Investigations-FY-20/hiqj-jrvt,"19,494"
"Workplace Fatalities by State by Event or Exposure, 2012",https://opendata.socrata.com/Government/Workplace-Fatalities-by-State-by-Event-or-Exposure/kmfn-2c5k,"19,481"
"Latino Worker Fatalities, 1995-2012",https://opendata.socrata.com/dataset/Latino-Worker-Fatalities-1995-2012/sqfx-68bm,"19,468"
Seattle: Air Filter & Cartridge RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Seattle-Air-Filter-Cartridge-RadNet-Laboratory-Ana/x2x4-a78a,"18,549"
Fifa 15,https://opendata.socrata.com/Business/Fifa-15/wmam-fib2,"18,145"
Top 25 Santa Fe County Properties,https://opendata.socrata.com/Government/Top-25-Santa-Fe-County-Properties/izus-a4n2,"24,988"
South Carolina State Employee Salary Database,https://opendata.socrata.com/Government/South-Carolina-State-Employee-Salary-Database/67f6-9d58,"24,916"
Contributors to NM Gov. Bill Richardson,https://opendata.socrata.com/Government/Contributors-to-NM-Gov-Bill-Richardson/vupa-fvqs,"24,676"
World's Largest Cathedrals,https://opendata.socrata.com/dataset/World-s-Largest-Cathedrals/sfaz-u3mt,"23,852"
City Of Trenton - 2012 Certified Tax List,https://opendata.socrata.com/dataset/City-Of-Trenton-2012-Certified-Tax-List/mxtj-vhhx,"21,833"
"TWE finance Sept. 9, 2010",https://opendata.socrata.com/dataset/TWE-finance-Sept-9-2010/gbjv-bew8,"21,794"
Lancaster County School Salaries,https://opendata.socrata.com/Education/Lancaster-County-School-Salaries/mpsw-g7js,"21,728"
Seattle: Drinking Water RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Seattle-Drinking-Water-RadNet-Laboratory-Analysis/g8ab-jk7t,"21,511"
SBA Loan failure rate for franchisees in a franchise brand,https://opendata.socrata.com/Banking-Finance-and-Insurance/SBA-Loan-failure-rate-for-franchisees-in-a-franchi/yiht-4fbq,"21,423"
2012 Workplace Fatalities by State,https://opendata.socrata.com/Government/2012-Workplace-Fatalities-by-State/vcx3-xxtb,"21,358"
ovhksearch,https://opendata.socrata.com/dataset/ovhksearch/g4c9-gaxy,"48,077"
Social Media and Law Enforcement: Who Gets What Info and When?,https://opendata.socrata.com/Government/Social-Media-and-Law-Enforcement-Who-Gets-What-Inf/2q2w-fhk6,"42,428"
Country List ISO 3166 Codes Latitude Longitude,https://opendata.socrata.com/dataset/Country-List-ISO-3166-Codes-Latitude-Longitude/mnkm-8ram,"31,744"
Premium Tips View,https://opendata.socrata.com/Education/Premium-Tips-View/8r3i-v3rc,"31,468"
Search The Groups That Have Lost Their Tax-Exempt Status,https://opendata.socrata.com/Government/Search-The-Groups-That-Have-Lost-Their-Tax-Exempt-/j5va-k6fu,"30,019"
Short Creek births 2005-2013,https://opendata.socrata.com/Government/Short-Creek-births-2005-2013/k3x5-s922,"30,005"
All Starbucks Locations in the US - Map,https://opendata.socrata.com/Business/All-Starbucks-Locations-in-the-US-Map/ddym-zvjk,"29,332"
The Planes,https://opendata.socrata.com/dataset/The-Planes/6v2k-v9qc,"28,026"
Santa Fe Contributors,https://opendata.socrata.com/dataset/Santa-Fe-Contributors/f92i-ik66,"28,019"
Santa Fe Non-profits,https://opendata.socrata.com/dataset/Santa-Fe-Non-profits/c7gh-83ff,"25,298"
2013 Report to Congress on White House Staff,https://opendata.socrata.com/Government/2013-Report-to-Congress-on-White-House-Staff/44xn-rs2p,"133,221"
FISTEMATICA 2.0,https://opendata.socrata.com/Education/FISTEMATICA-2-0/3yqq-6ret,"124,116"
Air Filter & Cartridge RadNet Laboratory Analysis,https://opendata.socrata.com/Government/Air-Filter-Cartridge-RadNet-Laboratory-Analysis/3d4g-9muv,"123,307"
Mapa Proyectos de Inversión Pública - Plan de Acción 2011,https://opendata.socrata.com/Government/Mapa-Proyectos-de-Inversión-Pública-Plan-de-Acción/imng-7jze,"77,563"
Mapa Proyectos de Inversión Pública - Plan de Acción 2012,https://opendata.socrata.com/Government/Mapa-Proyectos-de-Inversión-Pública-Plan-de-Acción/6g9w-84gs,"77,100"
Lista de Guarderías Subrogadas por el IMSS,https://opendata.socrata.com/Government/Lista-de-Guarderías-Subrogadas-por-el-IMSS/v67s-yiqx,"63,651"
2009 Report to Congress on White House Staff,https://opendata.socrata.com/Government/2009-Report-to-Congress-on-White-House-Staff/pc5g-zfsx,"59,339"
Franchise Failureby Brand2011,https://opendata.socrata.com/Business/Franchise-Failureby-Brand2011/5qh7-7usu,"54,915"
"Top 1,000 Songs To Hear Before You Die",https://opendata.socrata.com/Fun/Top-1-000-Songs-To-Hear-Before-You-Die/ed74-c6ni,"51,968"
Unclaimed bank accounts,https://opendata.socrata.com/Government/Unclaimed-bank-accounts/n2rk-fwkj,"48,623"
"Evaluation of Physical, Thermal and Spectroscopic Properties of Biofield Treated P-Hydroxyacetophenone",https://opendata.socrata.com/Education/Evaluation-of-Physical-Thermal-and-Spectroscopic-P/tjpu-wsyv,1
Phenotyping and 16S rDNA Analysis after Biofield Treatment on Citrobacter braakii: A Urinary Pathogen,https://opendata.socrata.com/Education/Phenotyping-and-16S-rDNA-Analysis-after-Biofield-T/qw27-vuur,1
"Antibiogram, Biochemical Reactions and Genotyping Characterization of Biofield Treated Staphylococcus aureus",https://opendata.socrata.com/Education/Antibiogram-Biochemical-Reactions-and-Genotyping-C/46db-wd3v,1
"Physical, Thermal, and Spectroscopic Characterization of Biofield Energy Treated Methyl-2-Naphthyl Ether",https://opendata.socrata.com/Education/Physical-Thermal-and-Spectroscopic-Characterizatio/njdp-tufx,1
"Physical, Thermal and Spectral Properties of Biofield Treated 3-Nitroacetophenone",https://opendata.socrata.com/Education/Physical-Thermal-and-Spectral-Properties-of-Biofie/uz5n-xc77,1
Assessment of Antibiogram of Multidrug-Resistant Isolates of Enterobacter aerogenes after Biofield Energy Treatment,https://opendata.socrata.com/Education/Assessment-of-Antibiogram-of-Multidrug-Resistant-I/bzhy-iz56,1
"Physical, Thermal and Spectral Properties of Biofield Treated 1,2,3-Trimethoxybenzene",https://opendata.socrata.com/Education/Physical-Thermal-and-Spectral-Properties-of-Biofie/egfx-8u7q,1
"Evaluation of Antibiogram, Genotype and Phylogenetic Analysis of Biofield Treated Nocardia otitidis",https://opendata.socrata.com/Education/Evaluation-of-Antibiogram-Genotype-and-Phylogeneti/kf8m-r56u,1
Impact of Biofield Treatment on Spectroscopic and Physicochemical Properties of p-Nitroaniline,https://opendata.socrata.com/Education/Impact-of-Biofield-Treatment-on-Spectroscopic-and-/8ek5-5zue,1
"Physical, Thermal and Spectroscopic Studies of Biofield Treated p-Chlorobenzonitrile",https://opendata.socrata.com/Education/Physical-Thermal-and-Spectroscopic-Studies-of-Biof/46hv-kxmz,1
Characterization of Physical and Structural Properties of Aluminium Carbide Powder: Impact of Biofield Treatment,https://opendata.socrata.com/Education/Characterization-of-Physical-and-Structural-Proper/hnk7-8xwt,1
Potential Impact of Biofield Treatment on Atomic and Physical Characteristics of Magnesium,https://opendata.socrata.com/Education/Potential-Impact-of-Biofield-Treatment-on-Atomic-a/wyak-ytfe,1
"Characterization of Physical, Thermal and Structural Properties of Chromium (VI) Oxide Powder: Impact of Biofield Treatment",https://opendata.socrata.com/Education/Characterization-of-Physical-Thermal-and-Structura/7ynw-dw4x,1
Antibiogram Typing and Biochemical Characterization of Klebsiella pneumoniae after Biofield Treatment,https://opendata.socrata.com/Education/Antibiogram-Typing-and-Biochemical-Characterizatio/2gus-ci9z,1
